,NAO(J),NAO,EA_WR,NP,NBRA,AMO(s),TNA,PWR,SWMRR,BEST,PNA,TNI,Hurricane activity,SR,AMM,AMO,SF,Niño(3),SOI,TSA,Niño(4),QBO,PDO,GMOT,Niño(3.4),EP_NP,AT,NOI,Niño(1+2),WHWP,CIP,TPI(IPO),Month,AO,WP,CAR,ONI,AAO,ENSO,MEI,GIAM,NTA
227,1.68,0.58,-0.61,1006.73,-23.0,-0.102,0.24,-0.36200000000000004,1.26,0.2,-0.21,-0.22399999999999998,0.0,-1.0,0.09,0.071,1246.0,-1.1,-0.6,0.6,-0.33,13.26,-0.32,-0.07,-0.57,,0.428,-0.58,-0.62,-0.32,98.0,0.05,12,-1.401,-1.34,-0.25,-0.3,,,,-0.89,-0.02
228,0.04,-1.55,0.34,1008.04,-89.0,-0.106,0.24,-0.51,0.34,-0.91,-1.16,-0.079,0.0,-5.0,0.84,0.07200000000000001,1477.0,-0.73,2.8,0.3,-0.72,11.03,-0.2,-0.06,-0.67,-0.22,0.642,2.648,-1.04,-0.17,4.0,-0.26,1,-0.5760000000000001,0.86,-0.25,-0.41,,,,-1.13,-0.1
229,1.7,-0.23,-0.52,1008.75,143.0,-0.11,0.0,-0.644,0.19,-0.95,-0.2,-0.022000000000000002,0.0,1.0,0.1,0.079,1470.0,-0.5,2.8,0.3,-0.78,10.49,-0.18,-0.27,-0.64,-0.56,0.221,5.8,-0.58,-0.27,2.0,-0.46,2,1.18,0.0,-0.19,-0.48,,,,-1.05,-0.18
230,3.0,1.18,-0.01,1015.84,76.0,-0.115,-0.15,-0.609,0.5,-0.55,-2.25,-0.14,0.0,22.0,0.2,-0.043,1606.0,-0.9,2.0,-0.03,-0.5,10.94,-1.2,0.02,-0.78,0.87,-0.163,-0.51,-1.04,-0.78,400.0,-0.48,3,1.9669999999999999,0.02,-0.11,-0.53,,,,-0.91,-0.24
231,-0.76,0.05,-1.07,1020.99,82.0,-0.11900000000000001,0.05,-0.515,0.3,-0.29,-1.91,-0.461,0.0,17.0,1.3,-0.024,1299.0,-1.23,-0.1,-0.2,-0.19,10.13,-0.89,-0.08,-1.08,0.14,0.462,-1.0759999999999998,-0.72,-1.11,46.0,-0.2,4,1.7,1.51,-0.1,-0.45,,,,-0.82,-0.32
232,-0.46,-0.87,-0.18,1018.42,164.0,-0.124,-0.16,-0.44799999999999995,0.5,0.15,-0.8,-0.9740000000000001,0.0,-45.0,0.84,-0.196,1430.0,-0.66,0.0,-0.37,-0.15,5.79,-1.24,0.15,-0.59,2.02,-0.34299999999999997,2.1519999999999997,-0.82,-1.47,41.0,-0.09,5,0.127,-1.38,-0.18,-0.24,,,,-1.06,-0.38
233,1.96,1.72,1.86,1014.38,0.0,-0.128,-0.21,-0.423,1.14,-0.23,-0.33,-1.254,0.0,32.0,0.01,-0.27,1202.0,-0.38,1.1,-0.61,-0.39,-0.58,-1.16,-0.1,-0.26,0.88,-0.428,-0.708,-1.06,-1.93,1606.0,-0.1,6,0.647,-0.4,-0.29,0.0,,,,-1.0,-0.47
234,1.44,0.44,1.25,1019.02,40.0,-0.131,-0.2,-0.5489999999999999,3.06,0.02,-1.24,-1.449,0.0,138.0,0.43,-0.239,1403.0,-0.69,0.3,-0.62,-0.38,-5.65,-0.89,0.07,-0.33,-0.12,-0.425,1.402,-1.1,-1.98,3133.0,-0.31,7,0.259,0.31,-0.35,0.05,,,,-1.06,-0.48
235,-0.41,1.73,-0.8,1014.02,-22.0,-0.134,-0.3,-0.509,3.12,-0.4,-0.35,-1.5430000000000001,0.0,430.0,0.08,-0.174,1537.0,-0.99,1.2,-0.4,-0.47,-6.76,-1.24,0.04,-0.42,1.1,-0.23600000000000002,-0.237,-1.5,-2.72,2186.0,-0.74,8,-0.293,0.15,-0.36,-0.16,,,,-1.18,-0.45
236,0.32,1.05,0.83,1010.17,30.0,-0.136,-0.14,-0.46799999999999997,1.53,-0.5,0.11,-1.6740000000000002,28.25,448.0,0.18,-0.106,1321.0,-1.39,0.8,-0.35,-0.56,-6.06,-0.72,0.0,-0.86,0.35,-0.126,-2.309,-1.81,-1.34,1716.0,-0.86,9,0.133,0.01,-0.27,-0.3,,,,-1.48,-0.44
237,1.34,0.59,-0.25,1010.3,-11.0,-0.138,-0.14,-0.479,0.28,-0.12,1.1,-1.722,8.0,118.0,-0.43,-0.109,1361.0,-1.36,0.1,-0.61,-0.43,-4.82,-0.64,0.12,-0.74,-0.24,-0.302,0.855,-1.73,-0.33,160.0,-0.91,10,1.2990000000000002,-0.8,-0.2,-0.38,,,,-1.51,-0.47
238,-0.91,0.5,-1.66,1012.61,-60.0,-0.141,-0.33,-0.586,0.65,0.14,-0.35,-1.619,0.0,16.0,-1.82,-0.244,1453.0,-1.21,-0.7,-0.4,-0.36,-6.05,-0.05,0.04,-0.62,-0.03,-0.544,-3.208,-1.77,-0.23,13.0,-0.59,11,0.33399999999999996,-0.59,-0.11,-0.34,,,,-0.96,-0.52
239,-0.53,-0.51,0.4,1010.04,-34.0,-0.145,-0.23,-0.48200000000000004,2.91,0.24,-1.12,-1.545,0.0,-2.0,-2.17,-0.162,1630.0,-1.24,-0.9,-0.13,-0.39,-7.27,-0.4,-0.03,-0.65,,-0.018000000000000002,1.122,-1.84,-0.29,678.0,-0.61,12,-0.34700000000000003,-0.56,-0.12,-0.44,,,,-0.95,-0.53
240,1.65,-0.36,0.62,1010.08,216.0,-0.149,-0.3,-0.607,0.43,-0.47,-1.78,-1.335,0.0,-5.0,-0.99,-0.256,1891.0,-1.4,0.9,-0.03,-0.46,-8.38,-0.95,-0.21,-0.85,-0.24,-0.16699999999999998,1.88,-1.62,-0.17,66.0,-0.72,1,-0.409,-2.08,-0.13,-0.64,,,,-0.58,-0.42
241,-1.53,-1.91,-1.26,1000.05,-55.0,-0.154,-0.11,-0.645,0.97,-0.82,1.11,-1.172,0.0,57.0,0.68,-0.207,1732.0,-1.57,2.1,-0.24,-0.47,-10.21,-0.4,-0.15,-1.07,-0.65,-0.063,-4.044,-1.41,-0.3,98.0,-0.48,2,-2.154,-3.18,-0.19,-0.74,,,,-1.19,-0.29
242,0.34,0.02,2.16,1012.31,-15.0,-0.158,-0.06,-0.589,1.15,-0.27,0.13,-1.1079999999999999,0.0,26.0,0.67,-0.218,1426.0,-1.44,0.2,-0.26,-0.57,-9.11,-0.31,0.31,-0.95,0.05,-0.059000000000000004,-0.36,-1.58,-0.96,166.0,-0.92,3,1.7409999999999999,-0.04,-0.18,-0.62,,,,-0.74,-0.24
243,-0.71,-1.32,-0.01,1017.29,-86.0,-0.161,-0.11,-0.609,0.59,-0.19,-1.11,-1.245,0.0,149.0,-0.07,-0.165,1295.0,-1.09,0.0,-0.01,-0.46,-12.25,-1.03,-0.12,-0.72,-2.88,-0.638,3.323,-1.77,-2.59,81.0,-0.69,4,0.32799999999999996,-0.91,-0.16,-0.44,,,,-1.04,-0.31
244,-1.5,-1.58,0.16,1016.17,41.0,-0.16399999999999998,-0.09,-0.535,0.49,-0.81,0.23,-1.197,0.0,72.0,-0.14,-0.133,1549.0,-1.21,2.1,-0.01,-0.6,-14.39,-0.53,-0.2,-0.75,1.07,-0.629,0.847,-2.03,-2.47,27.0,-0.65,5,-0.24100000000000002,-0.93,-0.17,-0.04,,,,-0.63,-0.52
245,0.95,0.64,1.26,1016.22,-82.0,-0.16399999999999998,-0.25,-0.273,0.25,-0.16,-0.08,-1.07,2.25,63.0,-1.45,-0.272,1423.0,-0.43,1.8,0.08,-0.09,-19.27,-0.35,-0.17,0.15,-0.73,-1.167,1.135,-1.61,-2.24,696.0,-0.26,6,0.42,-1.19,-0.23,0.28,,,,-0.65,-0.62
246,-1.96,-0.77,2.57,1015.89,16.0,-0.165,-0.19,-0.28600000000000003,2.73,0.08,-0.04,-0.69,0.0,17.0,-1.79,-0.239,1372.0,0.07,1.1,0.24,-0.34,-21.0,0.53,-0.15,0.28,1.71,-1.6740000000000002,1.551,-0.81,-0.93,3226.0,-0.09,7,-0.836,1.18,-0.22,0.58,,,,-0.04,-0.64
247,-1.45,-0.97,-0.46,1015.24,106.0,-0.166,-0.14,-0.35600000000000004,2.57,0.35,1.3,-0.534,2.75,-331.0,-1.9,-0.223,1422.0,0.03,0.4,0.2,-0.21,-21.82,0.19,-0.08,0.16,0.75,-1.244,0.22899999999999998,-0.26,-0.01,2111.0,-0.04,8,-0.6709999999999999,0.64,-0.12,0.53,,,,0.16,-0.56
248,0.5,-1.73,0.11,1015.92,-82.0,-0.166,-0.07,-0.33399999999999996,0.2,0.3,-0.87,-0.441,1.75,-27.0,-1.62,-0.159,1410.0,-0.09,-0.4,0.29,-0.19,-17.45,0.06,-0.27,0.01,-0.91,-1.287,0.184,0.33,1.24,1165.0,0.18,9,-1.0090000000000001,-0.72,-0.01,0.45,,,,-0.04,-0.44
249,0.03,-1.99,1.59,1010.72,142.0,-0.166,0.09,-0.28,0.52,0.37,0.45,-0.39799999999999996,5.0,-4.0,-1.44,-0.12300000000000001,1525.0,-0.02,-0.1,0.44,-0.07,-14.58,-0.34,0.04,0.04,-0.33,-0.6970000000000001,-0.473,-0.14,0.64,247.0,0.42,10,-1.013,0.97,0.05,0.55,,,,-0.3,-0.3
250,-2.0,-1.11,2.2,1006.37,-15.0,-0.16699999999999998,0.17,-0.379,0.86,0.65,0.83,-0.785,0.0,15.0,-1.13,-0.11699999999999999,1385.0,0.05,-0.6,0.49,0.4,-13.11,-0.44,-0.11,0.5,-0.16,-0.47200000000000003,-0.465,-0.09,0.77,51.0,0.65,11,-2.1830000000000003,-0.97,0.05,0.73,,,,-0.2,-0.17
251,-1.73,-1.39,-0.58,1013.57,-16.0,-0.16899999999999998,0.28,-0.316,0.85,0.39,-1.74,-1.508,0.0,8.0,-0.68,-0.136,1484.0,0.4,0.3,0.5,0.63,-11.36,-1.27,-0.22,0.67,,-0.601,-2.024,0.16,-0.14,10.0,0.87,12,-0.7829999999999999,0.64,0.05,0.98,,,,0.2,0.01
252,-1.64,-1.48,0.17,1012.41,27.0,-0.171,0.43,-0.20800000000000002,1.39,1.11,-2.96,-1.5090000000000001,0.0,-3.0,1.11,-0.07200000000000001,1527.0,0.45,-2.4,0.32,0.92,-8.58,-1.26,-0.14,0.95,0.6,-0.142,-5.651,-0.2,-0.09,35.0,0.85,1,-2.967,-0.71,0.01,1.13,,,,0.48,0.22
253,-3.16,-2.2,-2.12,1008.91,-69.0,-0.172,0.74,-0.242,0.95,1.06,-1.97,-1.156,0.0,-6.0,2.86,0.095,1552.0,0.32,-0.9,0.53,1.08,-4.43,-0.95,-0.29,1.11,-0.58,0.539,-5.94,-0.75,-0.01,5.0,0.75,2,-3.114,0.61,-0.01,1.09,,,,0.96,0.55
254,-1.81,-2.04,1.61,1012.89,155.0,-0.17600000000000002,1.13,-0.151,0.92,0.48,0.47,-0.713,0.0,15.0,5.19,0.19699999999999998,1723.0,0.21,0.7,0.38,0.63,-1.5,-0.5,-0.08,0.54,-0.02,1.198,1.666,0.34,2.04,8.0,0.4,3,-1.5819999999999999,0.56,0.05,0.95,,,,1.14,0.68
255,1.11,1.52,0.56,1012.34,6.0,-0.18100000000000002,0.84,-0.05,0.58,0.71,0.48,0.053,0.0,-3.0,3.83,0.139,1555.0,0.18,-0.6,0.35,0.4,3.98,-0.44,0.11,0.31,0.32,0.146,-1.301,0.88,2.09,30.0,0.29,4,0.43799999999999994,1.58,0.11,0.77,,,,0.94,0.68
256,-0.23,0.56,0.99,1012.72,97.0,-0.184,0.73,-0.084,1.25,0.87,1.02,0.623,0.0,-26.0,3.17,0.001,1454.0,0.46,-0.4,0.2,0.33,8.18,-0.2,0.17,0.35,1.0,-0.361,-2.049,1.31,4.28,53.0,0.54,5,-0.72,1.65,0.13,0.61,,,,0.65,0.45
257,-1.17,0.86,2.16,1013.23,45.0,-0.188,0.37,-0.149,0.9,0.4,2.11,0.491,0.0,7.0,1.89,0.019,1622.0,0.23,0.3,-0.05,-0.04,9.35,0.89,0.06,-0.04,3.19,-0.894,-2.2880000000000003,0.97,4.3,1005.0,0.6,6,-0.348,1.37,0.12,0.43,,,,0.54,0.31
258,3.7,0.6,1.61,1018.99,156.0,-0.192,0.39,-0.223,2.34,0.59,0.51,0.191,0.0,309.0,1.61,0.084,1366.0,-0.09,-0.8,-0.15,-0.17,9.08,0.1,-0.04,-0.21,-1.13,-0.47700000000000004,0.632,0.28,4.67,3451.0,0.31,7,0.41,-0.61,0.11,0.36,,,,0.28,0.17
259,-1.62,-1.99,-0.21,1016.86,13.0,-0.195,0.34,-0.171,2.51,0.72,-0.69,-0.1,13.0,235.0,0.54,-0.111,1430.0,0.24,-0.2,0.01,0.13,9.78,-0.81,-0.06,0.16,-0.14,-1.079,-0.835,-0.13,1.95,2608.0,0.21,8,-0.782,-2.18,0.14,0.51,,,,0.46,0.11
260,0.38,2.17,-0.68,1012.16,-45.0,-0.19699999999999998,0.27,-0.121,1.67,0.94,1.31,-0.46299999999999997,9.0,166.0,-0.26,-0.11699999999999999,1373.0,0.46,-1.6,-0.09,0.4,9.74,-0.66,0.03,0.43,0.09,-0.672,-0.444,0.02,2.49,2093.0,0.22,9,-0.083,0.25,0.1,0.79,,,,0.4,0.04
261,0.7,1.23,2.33,1010.56,2.0,-0.19899999999999998,0.17,-0.122,1.69,1.04,0.55,-0.5,15.75,382.0,-0.52,-0.195,1540.0,0.54,-1.5,-0.06,0.56,9.75,1.12,0.04,0.62,1.67,-0.981,-1.483,0.6,1.3,70.0,0.66,10,0.098,0.32,0.1,0.86,,,,0.43,0.08
262,-1.28,-1.14,-2.27,1010.41,-69.0,-0.201,0.34,-0.132,0.88,0.5,0.13,-0.302,2.5,18.0,0.52,-0.134,1567.0,0.51,-0.1,-0.07,0.49,7.34,0.15,0.09,0.4,-0.11,-0.09699999999999999,-1.27,0.57,2.01,243.0,0.67,11,0.326,-0.36,0.04,0.81,,,,-0.02,0.13
263,-0.26,-0.35,-0.96,1001.77,-88.0,-0.20199999999999999,0.44,-0.062,0.69,0.29,1.53,-0.348,0.0,-2.0,1.88,-0.040999999999999995,1436.0,0.64,0.7,-0.19,0.39,5.0,1.38,0.33,0.38,,0.172,-2.0269999999999997,0.59,-0.19,6.0,0.45,12,-1.8559999999999999,0.57,0.01,0.63,,,,0.35,0.36
264,-1.16,-2.26,-0.14,1005.97,40.0,-0.203,0.64,0.027999999999999997,0.16,0.87,0.12,-0.773,0.0,-4.0,3.81,-0.02,1583.0,0.42,-1.9,-0.34,0.21,0.3,0.61,0.06,0.28,0.23,0.359,-4.9,0.39,-0.17,106.0,0.33,1,-2.412,-2.17,-0.04,0.51,,,,0.76,0.45
265,1.1,0.28,-1.15,1002.61,-56.0,-0.205,0.64,-0.084,0.37,0.83,1.01,-1.024,0.0,-8.0,4.2,-0.057999999999999996,1754.0,0.0,-1.7,-0.26,0.29,-1.41,0.43,0.3,0.2,0.61,0.344,-3.812,-0.38,-0.29,98.0,0.01,2,-1.325,0.01,-0.02,0.34,,,,0.98,0.59
266,-1.78,-1.41,-4.17,1007.91,-31.0,-0.20600000000000002,0.83,0.028999999999999998,1.98,0.2,0.49,-1.386,0.0,-9.0,5.33,0.009000000000000001,1584.0,-0.38,1.0,-0.2,0.01,-4.63,1.33,0.09,-0.14,0.62,0.546,1.829,-1.25,-0.73,65.0,-0.15,3,-2.084,-0.29,0.05,0.29,,,,0.34,0.53
267,2.52,-1.56,-0.18,1017.11,66.0,-0.20800000000000002,0.68,-0.156,0.54,0.46,-0.66,-1.722,0.0,-35.0,4.12,0.01,1620.0,-0.54,-0.1,-0.28,-0.05,-7.25,0.43,0.06,-0.08,-0.45,0.335,4.095,-0.98,-0.42,54.0,-0.2,4,0.302,0.87,0.04,0.19,,,,-0.42,0.45
268,1.87,1.11,-0.2,1016.85,-165.0,-0.21,0.51,-0.177,0.26,0.15,-0.5,-1.993,0.5,56.0,3.58,-0.055999999999999994,1684.0,-0.98,0.6,-0.19,-0.09,-12.21,-0.49,-0.05,-0.3,-0.57,-0.17300000000000001,2.6710000000000003,-1.79,-1.11,212.0,-0.4,5,0.531,-0.15,0.0,0.04,,,,-1.03,0.25
269,-0.11,1.87,0.36,1014.65,-63.0,-0.212,0.24,-0.20600000000000002,0.55,-0.51,0.23,-1.865,0.0,-195.0,2.48,-0.192,1549.0,-1.46,1.6,-0.33,-0.35,-16.25,0.06,0.1,-0.69,-0.72,-0.608,-0.026000000000000002,-2.0,-1.08,2518.0,-0.48,6,0.875,-0.13,-0.12,-0.3,,,,-1.32,0.07
270,0.27,0.13,1.15,1016.1,-73.0,-0.213,-0.03,-0.14300000000000002,2.15,-0.36,0.74,-1.723,0.0,143.0,1.2,-0.21,1520.0,-1.93,-0.6,-0.11,-0.46,-18.62,-0.68,0.15,-1.08,-1.42,-0.978,-0.264,-2.51,-1.25,2103.0,-0.92,7,0.139,1.0,-0.18,-0.63,,,,-1.62,-0.11
271,-0.2,0.0,2.4,1016.81,-14.0,-0.213,-0.07,-0.114,2.22,-0.81,-0.6,-1.2830000000000001,2.25,141.0,0.86,-0.15,1382.0,-1.74,1.0,-0.24,-0.9,-21.38,-1.63,-0.11,-1.26,0.93,-0.604,0.45799999999999996,-1.85,-0.55,3652.0,-1.09,8,-0.263,1.01,-0.17,-0.76,,,,-1.95,-0.25
272,0.47,0.06,-0.12,1014.34,-89.0,-0.214,-0.12,-0.159,2.04,-0.98,-0.39,-0.958,2.0,68.0,-0.02,-0.14800000000000002,1432.0,-1.27,1.9,-0.22,-1.11,-21.67,-1.67,0.15,-1.07,-0.27,-1.02,2.21,-1.43,-0.24,2123.0,-1.07,9,0.03,-1.5,-0.15,-0.77,,,,-1.89,-0.27
273,0.0,-0.49,0.46,1014.48,-52.0,-0.215,-0.06,-0.19399999999999998,0.71,-0.71,-0.95,-0.276,2.0,-149.0,0.31,-0.20600000000000002,1483.0,-1.27,1.7,-0.39,-1.17,-22.12,-1.39,0.06,-1.12,-0.72,-0.917,-0.142,-1.14,-0.13,240.0,-1.06,10,0.098,1.4,-0.12,-0.74,,,,-1.27,-0.25
274,0.76,-0.76,-0.35,1014.31,83.0,-0.21600000000000003,-0.02,-0.21100000000000002,0.39,-1.31,-1.15,0.231,0.0,1.0,0.51,-0.25,1620.0,-1.48,2.6,-0.2,-1.13,-22.48,-0.8,0.03,-1.13,-0.05,-0.7240000000000001,-3.005,-1.17,-0.22,4.0,-1.27,11,0.37799999999999995,0.5,-0.14,-0.86,,,,-0.85,-0.21
275,-1.58,-1.2,0.81,1011.85,-47.0,-0.21600000000000003,0.03,-0.361,0.53,-1.36,-1.09,0.45399999999999996,0.0,-4.0,0.97,-0.21899999999999997,1528.0,-1.32,3.2,-0.34,-1.5,-17.39,-0.97,-0.09,-1.33,,-0.785,1.0759999999999998,-1.15,-0.32,0.0,-1.38,12,-0.39899999999999997,0.57,-0.12,-1.15,,,,-0.75,-0.13
276,-0.43,-1.82,-1.57,1012.4,76.0,-0.21899999999999997,0.1,-0.331,0.29,-0.83,-2.43,0.5660000000000001,0.0,-5.0,0.73,-0.255,1626.0,-1.58,0.6,-0.01,-1.67,-10.67,-1.9,-0.02,-1.73,0.05,-0.505,5.065,-1.44,-0.17,37.0,-1.48,1,-0.163,-2.51,-0.09,-1.36,,,,-1.45,-0.12
277,1.21,-0.17,0.38,1007.64,8.0,-0.222,-0.03,-0.45,0.62,-1.5,-0.16,0.862,0.0,2.0,-0.17,-0.302,1378.0,-1.57,3.3,0.02,-1.38,-3.67,-1.74,-0.09,-1.57,-1.99,-0.87,7.349,-1.68,-0.3,22.0,-1.52,2,-0.922,-1.65,-0.1,-1.38,,,,-1.63,-0.2
278,-1.76,-1.28,-0.32,1011.21,-18.0,-0.226,-0.18,-0.518,0.17,-1.66,-0.28,0.691,0.0,20.0,-1.0,-0.32,1119.0,-1.3,3.8,-0.06,-1.31,0.91,-1.68,-0.19,-1.36,-0.22,-0.871,3.8310000000000004,-1.45,-0.96,35.0,-1.28,3,-1.091,-0.15,-0.2,-1.12,,,,-1.77,-0.39
279,-3.15,-0.41,0.66,1014.75,-70.0,-0.22899999999999998,-0.34,-0.501,0.5,-1.69,0.23,0.4,0.0,9.0,-2.61,-0.423,1167.0,-1.04,2.8,0.09,-1.17,3.75,-1.59,-0.05,-1.18,-1.95,-0.9420000000000001,2.526,-0.66,-2.57,35.0,-1.04,4,-0.583,-0.08,-0.28,-0.85,,,,-1.04,-0.57
280,-0.62,0.51,0.72,1014.25,102.0,-0.23399999999999999,-0.46,-0.496,0.52,-1.0,1.09,0.397,0.0,-56.0,-3.56,-0.336,1099.0,-1.12,1.4,0.25,-1.07,6.77,-1.55,-0.06,-0.98,-1.14,-0.8440000000000001,2.057,-1.24,-2.32,322.0,-1.11,5,0.679,0.76,-0.34,-0.73,,,,-0.74,-0.74
281,-1.32,-1.28,0.95,1014.46,108.0,-0.23800000000000002,-0.62,-0.57,0.18,-0.67,0.51,0.21100000000000002,0.0,-127.0,-3.8,-0.373,1017.0,-1.24,0.7,0.17,-1.14,8.28,-1.55,-0.19,-1.13,-0.28,-1.165,0.491,-1.54,-1.95,2100.0,-1.19,6,-0.6679999999999999,1.64,-0.34,-0.74,,,,-0.32,-0.78
282,-1.04,0.27,0.02,1016.26,177.0,-0.24,-0.45,-0.518,2.04,-0.42,-1.74,0.1,0.0,-61.0,-1.96,-0.359,1174.0,-1.12,0.4,-0.23,-1.2,8.88,-2.2,-0.06,-1.17,2.19,-0.9359999999999999,1.12,-1.03,-1.54,2558.0,-1.11,7,-0.578,0.77,-0.38,-0.8,,,,-0.35,-0.75
283,0.07,1.87,1.67,1015.26,20.0,-0.24100000000000002,-0.46,-0.34700000000000003,3.28,-1.1,-0.81,0.09699999999999999,3.25,276.0,-2.47,-0.445,1141.0,-1.33,2.5,-0.2,-1.25,8.34,-0.15,0.05,-1.1,1.78,-1.3840000000000001,-0.42700000000000005,-1.23,-2.97,2131.0,-0.96,8,0.818,-0.87,-0.4,-0.77,,,,-0.4,-0.59
284,-0.54,0.53,-0.3,1015.27,59.0,-0.242,-0.29,-0.297,1.88,-1.13,0.15,0.145,25.5,-6.0,-1.56,-0.376,1040.0,-1.04,2.3,-0.16,-1.46,8.95,0.21,0.01,-1.0,-0.39,-1.2919999999999998,0.79,-1.22,-3.97,1785.0,-0.81,9,0.153,-0.48,-0.33,-0.82,,,,-0.47,-0.47
285,1.63,1.14,1.94,1015.2,62.0,-0.245,-0.18,-0.43,1.79,-1.26,-1.35,0.087,0.0,-153.0,-0.26,-0.245,1072.0,-1.33,2.8,-0.38,-1.32,8.48,-0.22,0.04,-1.24,-0.49,-0.635,3.6519999999999997,-1.29,-3.38,545.0,-1.06,10,1.185,0.86,-0.24,-0.85,,,,-0.26,-0.36
286,-1.46,-0.34,-1.35,1011.73,-29.0,-0.248,-0.13,-0.45899999999999996,0.71,-0.69,-0.26,0.221,0.0,-8.0,0.73,-0.253,1140.0,-1.31,0.9,-0.68,-0.98,8.47,-1.25,-0.13,-1.15,-0.34,-0.621,3.0860000000000003,-0.76,-1.9,4.0,-1.12,11,0.419,0.31,-0.15,-0.96,,,,-0.36,-0.38
287,0.76,0.47,1.63,1014.19,-46.0,-0.252,-0.31,-0.484,1.32,-0.47,-1.76,0.259,0.0,14.0,-0.44,-0.318,1245.0,-1.48,0.4,-0.79,-0.68,9.1,-1.87,-0.07,-1.23,,-0.861,2.492,-0.99,-0.32,0.0,-1.13,12,0.8240000000000001,0.45,-0.09,-0.9,,,,-0.35,-0.4
288,-0.52,-0.19,0.56,1012.72,-65.0,-0.256,-0.27,-0.428,0.08,-0.41,-2.46,0.447,0.0,1.0,-1.63,-0.32799999999999996,1148.0,-0.73,0.8,-0.08,-0.69,8.2,-1.99,-0.27,-0.92,-0.46,-1.607,4.455,-0.38,-0.13,1.0,-0.67,1,0.16699999999999998,-0.05,-0.06,-0.71,,,,-0.41,-0.47
289,-0.2,-0.08,-1.07,1010.69,-64.0,-0.259,-0.38,-0.317,0.06,-0.47,-2.27,0.575,0.0,-2.0,-2.15,-0.39,1418.0,-0.52,1.8,-0.06,-0.31,7.95,-1.83,-0.31,-0.45,0.15,-1.8330000000000002,1.071,0.45,-0.3,29.0,-0.3,2,-0.195,-2.26,-0.04,-0.35,,,,-0.09,-0.54
290,0.26,0.35,2.15,1009.85,-103.0,-0.261,-0.5,-0.504,0.07,-0.2,-0.1,0.6609999999999999,0.0,4.0,-3.12,-0.449,1285.0,-0.29,1.1,-0.18,-0.16,7.35,-2.09,-0.05,-0.19,-1.36,-1.876,1.899,0.58,-0.57,1.0,-0.37,3,-0.141,-1.87,-0.08,0.06,,,,-0.08,-0.58
291,0.22,-0.38,-0.57,1019.8,-85.0,-0.263,-0.31,-0.495,0.08,0.44,-1.95,0.851,0.0,32.0,-3.04,-0.336,1129.0,0.0,-0.2,0.03,0.11,6.22,-1.65,-0.03,0.07,-1.52,-1.318,-0.09300000000000001,0.64,0.33,18.0,0.12,4,1.0070000000000001,-0.01,-0.18,0.41,,,,-0.05,-0.67
292,1.24,0.93,0.03,1014.76,-48.0,-0.264,-0.46,-0.511,0.56,1.56,0.21,1.1340000000000001,0.0,102.0,-3.32,-0.479,1296.0,0.21,-2.6,-0.03,0.11,-2.59,-1.57,-0.02,0.38,0.31,-2.036,-1.278,0.71,0.17,54.0,0.1,5,0.14,1.23,-0.39,0.67,,,,0.1,-0.64
293,1.07,1.19,0.91,1015.53,50.0,-0.263,-0.35,-0.479,1.07,1.23,-0.15,1.52,1.5,7.0,-4.31,-0.498,1354.0,0.61,-0.9,0.09,0.1,-10.7,-1.87,0.08,0.45,-2.96,-1.665,-1.2590000000000001,1.78,-1.4,1170.0,0.38,6,-0.049,2.06,-0.52,0.92,,,,0.34,-0.62
294,0.41,0.21,-0.16,1017.95,-26.0,-0.262,-0.4,-0.534,1.7,1.7,-1.13,1.659,0.0,-319.0,-4.77,-0.385,1220.0,1.2,-2.4,0.25,0.13,-15.45,-0.83,0.07,0.85,2.2,-1.261,-1.6869999999999998,2.03,-0.64,1481.0,0.67,7,-0.5529999999999999,-0.32,-0.51,1.13,,,,0.12,-0.58
295,0.11,1.57,-1.63,1014.64,443.0,-0.262,-0.44,-0.508,2.18,1.47,-0.04,1.642,3.5,-297.0,-4.91,-0.39299999999999996,1257.0,1.63,-0.8,0.26,-0.04,-19.28,0.25,0.2,1.09,1.76,-1.245,-1.633,2.37,-1.47,2521.0,1.02,8,-0.08199999999999999,1.09,-0.35,1.37,,,,-0.12,-0.58
296,-4.11,0.03,1.22,1014.78,-87.0,-0.262,-0.33,-0.446,1.47,1.6,0.13,1.4809999999999999,1.25,-293.0,-4.75,-0.312,1136.0,1.43,-2.2,0.23,0.11,-20.4,0.17,0.07,1.23,0.93,-1.16,-0.636,1.23,-1.21,585.0,1.07,9,-0.92,-1.61,-0.2,1.58,,,,-0.73,-0.5
297,-1.74,1.7,0.47,1014.9,-69.0,-0.263,-0.08,-0.32299999999999995,3.94,1.59,-1.49,1.186,0.0,18.0,-4.5,-0.29600000000000004,1211.0,1.74,-1.5,0.29,0.4,-21.17,0.11,-0.04,1.54,1.48,-1.291,-2.359,1.39,1.55,60.0,1.22,10,0.392,0.51,-0.07,1.84,,,,-0.92,-0.4
298,0.64,0.43,-0.07,1009.7,-63.0,-0.263,-0.09,-0.177,1.29,1.18,0.53,0.6,0.0,4.0,-4.93,-0.287,1016.0,1.99,-0.6,0.44,0.53,-20.49,0.57,-0.07,1.9,-0.32,-1.368,-1.25,1.38,0.87,182.0,1.27,11,-0.38,0.19,0.03,2.09,,,,-0.76,-0.4
